SeqNo;Type;DHID;Parent;Name;Latitude;Longitude;MunicipalityCode;Municipality;DistrictCode;District;Description;Authority;DelfiName;THID;TariffProvider;LastOperationDate;SEV
246298;Q;de:09671:99245:0:1;de:09671:99245;Sommerkahl, Frankenstr., Mast 1;50,070361;9,247222;00000000;-;-;-;;BEG;-;-;-;;nein
246299;Q;de:09671:99245:0:2;de:09671:99245;Sommerkahl, Frankenstr., Mast 2;50,070338;9,247284;00000000;-;-;-;;BEG;-;-;-;;nein
246300;S;de:09671:99246;de:09671:99246;Sommerkahl, Grüner Baum;50,069882;9,251974;09671153;Sommerkahl;;;;BEG;-;D925C70183AE;-;2026-12-12T00:00:00;nein
246301;Q;de:09671:99246:0:1;de:09671:99246;Sommerkahl, Grüner Baum, Mast 1;50,069934;9,25201;00000000;-;-;-;;BEG;-;-;-;;nein
246302;Q;de:09671:99246:0:2;de:09671:99246;Sommerkahl, Grüner Baum, Mast 2;50,069813;9,25192;00000000;-;-;-;;BEG;-;-;-;;nein
246303;S;de:09671:99247;de:09671:99247;Sommerkahl, Schule;50,070222;9,257939;09671153;Sommerkahl;;;;BEG;-;D925C70183AF;-;2026-12-11T00:00:00;nein
246304;Q;de:09671:99247:0:1;de:09671:99247;Sommerkahl, Schule, Mast 1;50,070199;9,25793;00000000;-;-;-;;BEG;-;-;-;;nein
246305;Q;de:09671:99247:0:2;de:09671:99247;Sommerkahl, Schule, Mast 2;50,070199;9,257947;00000000;-;-;-;;BEG;-;-;-;;nein
246306;S;de:09671:99248;de:09671:99248;Vormwald, Abzw.;50,074495;9,270021;09671153;Sommerkahl;;;;BEG;-;D925C70183B0;-;2026-12-12T00:00:00;nein
246307;Q;de:09671:99248:0:1;de:09671:99248;Vormwald, Abzw., Mast 1;50,07446;9,270021;00000000;-;-;-;;BEG;-;-;-;;nein
246308;Q;de:09671:99248:0:2;de:09671:99248;Vormwald, Abzw., Mast 2;50,074575;9,26923;00000000;-;-;-;;BEG;-;-;-;;nein
246309;S;de:09671:99249;de:09671:99249;Huckelheim, Huckelheimer Str.;50,124644;9,239523;09671159;Westerngrund;;;;BEG;-;D925C70183B1;-;2026-12-12T00:00:00;nein
246310;Q;de:09671:99249:0:1;de:09671:99249;Huckelheim, Huckelheimer Str., Mast 1;50,124719;9,239586;00000000;-;-;-;;BEG;-;-;-;;nein
246311;Q;de:09671:99249:0:2;de:09671:99249;Huckelheim, Huckelheimer Str., Mast 2;50,124707;9,239577;00000000;-;-;-;;BEG;-;-;-;;nein
246312;S;de:09671:99250;de:09671:99250;Huckelheim, Raiffeisenstraße;50,128681;9,240358;09671159;Westerngrund;;;;BEG;-;D925C70183B2;-;2026-12-12T00:00:00;nein
246313;Q;de:09671:99250:0:2;de:09671:99250;Huckelheim, Raiffeisenstr., Mast 2;50,12871;9,240502;00000000;-;-;-;;BEG;-;-;-;;nein
246314;S;de:09671:99251;de:09671:99251;Oberwestern, Bachmann;50,11472;9,241472;09671159;Westerngrund;;;;BEG;-;D925C70183B3;-;2026-12-12T00:00:00;nein
246315;Q;de:09671:99251:0:1;de:09671:99251;Oberwestern, Bachmann, Mast 1;50,114743;9,241311;00000000;-;-;-;;BEG;-;-;-;;nein
246316;Q;de:09671:99251:0:2;de:09671:99251;Oberwestern, Bachmann, Mast 2;50,114714;9,241652;00000000;-;-;-;;BEG;-;-;-;;nein
246317;S;de:09671:99252;de:09671:99252;Oberwestern, West;50,112997;9,241374;09671159;Westerngrund;;;;BEG;-;D925C70183B4;-;2026-12-12T00:00:00;nein
246318;Q;de:09671:99252:0:1;de:09671:99252;Oberwestern, West, Mast 1;50,112974;9,241392;00000000;-;-;-;;BEG;-;-;-;;nein
246319;Q;de:09671:99252:0:2;de:09671:99252;Oberwestern, West, Mast 2;50,112905;9,241383;00000000;-;-;-;;BEG;-;-;-;;nein
246320;S;de:09671:99253;de:09671:99253;Unterwestern, Frankenstraße;50,106769;9,243718;09671159;Westerngrund;;;;BEG;-;D925C70183B5;-;2026-12-12T00:00:00;nein
246321;Q;de:09671:99253:0:1;de:09671:99253;Unterwestern, Frankenstr., Mast 1;50,106741;9,243736;00000000;-;-;-;;BEG;-;-;-;;nein
246322;Q;de:09671:99253:0:2;de:09671:99253;Unterwestern, Frankenstr., Mast 2;50,10666;9,243772;00000000;-;-;-;;BEG;-;-;-;;nein
246323;S;de:09671:99254;de:09671:99254;Schöllkrippen, Ernstkirchen;50,079372;9,245847;09671152;Schöllkrippen;;;;BEG;-;D925C70183B6;-;2026-12-12T00:00:00;nein
246324;Q;de:09671:99254:0:1;de:09671:99254;Schöllkrippen, Ernstkirchen, Mast 1;50,07955;9,245973;00000000;-;-;-;;BEG;-;-;-;;nein
246325;Q;de:09671:99254:0:2;de:09671:99254;Schöllkrippen, Ernstkirchen, Mast 2;50,079274;9,245802;00000000;-;-;-;;BEG;-;-;-;;nein
246326;S;de:09671:99255;de:09671:99255;Schöllkrippen, Industriestraße;50,091125;9,253672;09671152;Schöllkrippen;;;;BEG;-;D925C70183B7;-;2026-12-12T00:00:00;nein
246327;Q;de:09671:99255:0:1;de:09671:99255;Schöllkrippen, Industriestr., Mast 1;50,091211;9,253627;00000000;-;-;-;;BEG;-;-;-;;nein
246328;Q;de:09671:99255:0:2;de:09671:99255;Schöllkrippen, Industriestr., Mast 2;50,090842;9,253177;00000000;-;-;-;;BEG;-;-;-;;nein
246329;S;de:09671:99256;de:09671:99256;Langenborn;50,076893;9,241769;09671152;Schöllkrippen;;;;BEG;-;D925C70183B8;-;2026-12-11T00:00:00;nein
246330;Q;de:09671:99256:0:1;de:09671:99256;Schöllkrippen, Langenborn, Mast 1;50,077181;9,242559;00000000;-;-;-;;BEG;-;-;-;;nein
246331;Q;de:09671:99256:0:2;de:09671:99256;Schöllkrippen, Langenborn, Mast 2;50,076726;9,241607;00000000;-;-;-;;BEG;-;-;-;;nein
